waning_week,h
0,1.0
1,1.0
2,1.0
3,1.0
4,1.153846153846154
5,1.153846153846154
6,1.153846153846154
7,1.153846153846154
8,1.692307692307692
9,1.692307692307692
10,1.692307692307692
11,1.692307692307692
12,2.538461538461538
13,2.538461538461538
14,2.538461538461538
15,2.538461538461538
16,3.0
17,3.0
18,3.0
19,3.0
20,3.846153846153846
21,3.846153846153846
22,3.846153846153846
23,3.846153846153846
24,3.846153846153846
25,3.846153846153846
26,3.846153846153846
27,3.846153846153846
28,3.846153846153846
29,3.846153846153846
30,3.846153846153846
31,3.846153846153846
32,3.846153846153846
33,3.846153846153846
34,3.846153846153846
35,3.846153846153846
36,3.846153846153846
37,3.846153846153846
38,3.846153846153846
39,3.846153846153846
40,3.846153846153846
41,3.846153846153846
42,3.846153846153846
43,3.846153846153846
44,3.846153846153846
45,3.846153846153846
46,3.846153846153846
47,3.846153846153846
48,3.846153846153846
49,3.846153846153846
50,3.846153846153846
51,3.846153846153846
52,3.846153846153846
