Age_group,g0,g1,g2,g3
0-19,0.043170917107476794,0.011167294932467554,0.004747115694728206,0.0042309768216211435
20-29,0.2275318221233142,0.03580915235688882,0.008141385069130187,0.00362890843044749
30-39,0.3513615094084916,0.06336097415618394,0.009654814431669937,0.004512385362836485
40-49,0.45104701626214383,0.08356479009496358,0.012446629726096243,0.009535615863578296
50-59,0.7900360097864546,0.15297901596016086,0.022974632398789448,0.011089910216271901
60-69,1.0,0.32673855315199735,0.048994136729579536,0.03164061781885667
70-79,2.6898135211701364,0.6600950461761539,0.13887059696297338,0.053836383742215874
80-89,4.808019254646769,1.14795037350792,0.25357024170673864,0.15626207986519475
90+,3.039757781762586,1.680275456972831,0.31531103093346047,0.21336549495295934
