Age_group,Population_size
0-19,3303562.131545486
20-29,1284479.9445150848
30-39,1205005.4328979307
40-49,1116939.0821870302
50-59,853814.0099410472
60-69,755007.8603629638
70-79,492956.76800369896
80-89,223387.81643740606
90+,55846.954109351514
total,9291000.0
