Sunday_date,Age_group,positive_unvaccinated,positive_after_1st_dose,positive_after_2nd_dose,positive_after_3rd_dose
2021-12-12,total,2739.0,252.0,702.0,1200.0
2021-12-19,0-19,2904.0,337.0,789.0,182.0
2021-12-19,20-29,275.0,44.0,207.0,632.0
2021-12-19,30-39,272.0,53.0,292.0,655.0
2021-12-19,40-49,162.0,34.0,202.0,681.0
2021-12-19,50-59,96.0,13.0,75.0,434.0
2021-12-19,60-69,56.0,9.0,49.0,292.0
2021-12-19,70-79,22.0,4.0,22.0,151.0
2021-12-19,80-89,7.0,4.0,4.0,54.0
2021-12-19,90+,4.0,0.0,4.0,15.0
2021-12-19,total,3798.0,498.0,1644.0,3096.0
