Sunday_date,Age_group,hosp_unvaccinated_rel,hosp_after_1st_dose_rel,hosp_after_2nd_dose_rel,hosp_after_3rd_dose_rel
2021-04-11,0-19,4.104570596928504e-06,0.0,3.01884969751126e-06,
2021-04-11,20-29,4.1683775115498425e-05,1.066848742185333e-05,0.0,
2021-04-11,30-39,3.99489559569175e-05,0.0,0.0,
2021-04-11,40-49,3.570516228257459e-05,0.0,0.0,
2021-04-11,50-59,9.09520782173491e-06,2.291895856252292e-05,1.4280940371361574e-06,
2021-04-11,60-69,0.00010963967316199254,3.3265693090715545e-05,1.4201429926199903e-05,
2021-04-11,70-79,0.0005503999893622849,0.00034938159457759767,2.224318024093813e-06,
2021-04-11,80-89,0.0006441077960422114,0.0001353729524840937,4.949808937375017e-06,
2021-04-11,90+,0.00011683670542261698,0.0,2.2276676319893072e-05,
2021-04-18,0-19,6.167589585504187e-06,0.0,2.971768202080238e-06,
2021-04-18,20-29,3.313079983785663e-06,0.0,0.0,
2021-04-18,30-39,2.059236551352336e-05,1.4098406880022558e-05,0.0,
2021-04-18,40-49,3.6650542102594276e-05,1.7117132537957242e-05,0.0,
2021-04-18,50-59,9.385880880907384e-06,0.0,0.0,
2021-04-18,60-69,8.985749238946335e-05,3.326348002528024e-05,1.5725372101617355e-06,
2021-04-18,70-79,0.00025062864822482356,7.012622720897616e-05,2.2184410127626913e-06,
2021-04-18,80-89,0.0005207242122656499,0.0,2.4657020840114015e-05,
2021-04-18,90+,0.00011917595865356054,0.0,2.2139567835635848e-05,
2021-04-25,0-19,2.7446380539126715e-06,2.1376199739210364e-05,2.923916761937621e-06,
2021-04-25,20-29,2.7149479939546913e-05,1.1538949724796048e-05,0.0,
2021-04-25,30-39,4.217621991565446e-06,1.4770830563802602e-05,1.1108593163327423e-06,
2021-04-25,40-49,3.2052980210805845e-05,0.0,0.0,
2021-04-25,50-59,4.800168507831941e-05,2.351060328208022e-05,1.414193125041542e-06,
2021-04-25,60-69,5.7137724305691825e-05,0.0,1.5673023122411013e-06,
2021-04-25,70-79,0.00022135510047828992,0.0,0.0,
2021-04-25,80-89,7.677651388069418e-05,0.0,4.9117602275127336e-06,
2021-04-25,90+,0.0,0.00047709923664122136,0.0,
2021-05-02,0-19,4.121017622811047e-06,0.0,0.0,
2021-05-02,20-29,3.4538741810448516e-06,1.1894000666064038e-05,1.0978466835149538e-06,
2021-05-02,30-39,4.297149007241082e-06,0.0,1.10344949346151e-06,
2021-05-02,40-49,5.4214916396425214e-06,0.0,0.0,
2021-05-02,50-59,9.769058486238607e-06,0.0,7.0498793060662805e-06,
2021-05-02,60-69,1.1569004551950624e-05,3.433358511295749e-05,1.563858602160627e-06,
2021-05-02,70-79,3.769066576568074e-05,7.380618495829951e-05,2.208109946210442e-06,
2021-05-02,80-89,7.852488529498498e-05,0.0,0.0,
2021-05-02,90+,0.0001220709963277811,0.0,0.0,
2021-05-09,0-19,3.4366279076629975e-07,0.0,2.862589956889395e-06,
2021-05-09,20-29,3.4966019819039146e-06,0.0,0.0,
2021-05-09,30-39,4.353079441938157e-06,0.0,0.0,
2021-05-09,40-49,5.478518989852651e-06,1.8237525532535744e-05,0.0,
2021-05-09,50-59,9.891195862227056e-06,0.0,0.0,
2021-05-09,60-69,1.1665499678450374e-05,3.4940600978336826e-05,1.5608781500472165e-06,
2021-05-09,70-79,3.8283713551546035e-05,0.0,2.20459039812698e-06,
2021-05-09,80-89,7.981599898090916e-05,0.0,4.888230607167124e-06,
2021-05-09,90+,0.0,0.0005327650506126798,0.0,
2021-05-16,0-19,2.406785100004774e-06,0.0,0.0,
2021-05-16,20-29,3.525099392237171e-06,0.0,0.0,
2021-05-16,30-39,4.387419055015574e-06,0.0,0.0,
2021-05-16,40-49,5.512555108704696e-06,0.0,1.1338395548999443e-06,
2021-05-16,50-59,9.967902363475733e-06,0.0,1.4031739795417234e-06,
2021-05-16,60-69,1.1733527778319335e-05,0.0,1.5581833452014964e-06,
2021-05-16,70-79,3.8670107166350474e-05,0.0,2.201658729686946e-06,
2021-05-16,80-89,0.00040313424174531336,0.0,4.880429477794046e-06,
2021-05-16,90+,0.0,0.0,2.174669450243563e-05,
2021-05-23,0-19,3.440210192536835e-07,0.0,0.0,
2021-05-23,20-29,3.5586182509025784e-06,0.0,1.079847136839309e-06,
2021-05-23,30-39,4.430573148965246e-06,1.65694591728526e-05,1.088199671581339e-06,
2021-05-23,40-49,5.555553018919978e-06,0.0,0.0,
2021-05-23,50-59,1.0068870070329932e-05,2.475860361475613e-05,0.0,
2021-05-23,60-69,1.181253129685859e-05,0.0,1.555967368252353e-06,
2021-05-23,70-79,3.9119394263379413e-05,7.905138339920949e-05,2.1990394595640622e-06,
2021-05-23,80-89,0.0,0.00016909029421711193,4.87284315779728e-06,
2021-05-23,90+,0.0001248914364117656,0.0005704506560182544,2.1698092737648362e-05,
2021-05-30,0-19,3.442501799448934e-07,0.0,0.0,
2021-05-30,20-29,3.5881912616454283e-06,0.0,0.0,
2021-05-30,30-39,2.23276650772315e-05,0.0,0.0,
2021-05-30,40-49,5.591149990942258e-06,0.0,1.1292633927815225e-06,
2021-05-30,50-59,1.0145176466701723e-05,0.0,1.3986737775241515e-06,
2021-05-30,60-69,1.1870583053263647e-05,0.0,1.5545982684884485e-06,
2021-05-30,70-79,3.948859426661677e-05,7.956715467854869e-05,2.197488270906354e-06,
2021-05-30,80-89,0.0,0.00017094017094017094,4.869046981434324e-06,
2021-05-30,90+,0.0,0.0,2.1669881032353134e-05,
2021-06-06,0-19,3.4602361904810107e-07,0.0,0.0,
2021-06-06,20-29,3.6129132737040897e-06,1.288277958852402e-05,0.0,
2021-06-06,30-39,4.496050453288473e-06,0.0,1.0840778237788134e-06,
2021-06-06,40-49,0.0,0.0,1.128287406394456e-06,
2021-06-06,50-59,0.0,2.4767801857585138e-05,0.0,
2021-06-06,60-69,1.1920391757398688e-05,3.635041802980734e-05,1.5537407863171372e-06,
2021-06-06,70-79,0.0,7.978299026647519e-05,0.0,
2021-06-06,80-89,8.285130144157448e-05,0.00017152658662092623,4.866464221755041e-06,
2021-06-06,90+,0.0001266311018340359,0.0,2.1641742593113596e-05,
2021-06-13,0-19,3.472266672606208e-07,0.0,0.0,
2021-06-13,20-29,0.0,0.0,1.0732953386783442e-06,
2021-06-13,30-39,4.527623264790677e-06,0.0,0.0,
2021-06-13,40-49,5.653260153968516e-06,1.8924340486734036e-05,1.1271314054877773e-06,
