Age_group,Population_size,Population_share
0-19,3303562.131545486,0.355565830539822
20-29,1284479.9445150848,0.13824991330482023
30-39,1205005.4328979307,0.12969598890301698
40-49,1116939.0821870302,0.12021731591723499
50-59,853814.0099410472,0.09189689053288636
60-69,755007.8603629638,0.08126228181713097
70-79,492956.76800369896,0.053057450005779674
80-89,223387.81643740606,0.024043463183446998
90+,55846.954109351514,0.0060108657958617496
