Sunday_date,Age_group,unvaccinated_share,1st_dose_share,2nd_dose_share,3rd_dose_share
2020-12-20,70-79,0.8380973643526461,0.16190263564735383,0.0,0.0
2020-12-20,80-89,0.8818377813930768,0.11816221860692318,0.0,0.0
2020-12-20,90+,0.9201030732801802,0.07989692671981985,0.0,0.0
2020-12-27,0-19,0.9973077545855512,0.0026922454144487885,0.0,0.0
2020-12-27,20-29,0.9603816313230087,0.03961836867699133,0.0,0.0
2020-12-27,30-39,0.9320832937630977,0.06791670623690226,0.0,0.0
2020-12-27,40-49,0.893037138815065,0.10696286118493498,0.0,0.0
2020-12-27,50-59,0.8234275869865272,0.17657241301347285,0.0,0.0
2020-12-27,60-69,0.5687713769715197,0.4312286230284803,0.0,0.0
2020-12-27,70-79,0.46732245697044644,0.5326775430295535,0.0,0.0
2020-12-27,80-89,0.5078111163201775,0.49218888367982255,0.0,0.0
2020-12-27,90+,0.5596357869070978,0.4403642130929022,0.0,0.0
2021-01-03,0-19,0.9934264896087058,0.006573510391294119,0.0,0.0
2021-01-03,20-29,0.9169811872459737,0.08301881275402637,0.0,0.0
2021-01-03,30-39,0.8698678066347918,0.13013219336520826,0.0,0.0
2021-01-03,40-49,0.784002544232218,0.21599745576778193,0.0,0.0
2021-01-03,50-59,0.6454098943388102,0.3545901056611897,0.0,0.0
2021-01-03,60-69,0.3570331840431087,0.6429668159568913,0.0,0.0
2021-01-03,70-79,0.24289912579676862,0.7571008742032314,0.0,0.0
2021-01-03,80-89,0.25415807067219714,0.7458419293278028,0.0,0.0
2021-01-03,90+,0.33145861586481534,0.6685413841351846,0.0,0.0
2021-01-10,0-19,0.9920991345218656,0.007710767645857207,0.0001900978322772475,0.0
2021-01-10,20-29,0.899687807076939,0.09460404618919523,0.005708146733865873,0.0
2021-01-10,30-39,0.8427260202933435,0.1443254903687486,0.012948489337907942,0.0
2021-01-10,40-49,0.7378523102381958,0.24264617858059498,0.01950151118120928,0.0
2021-01-10,50-59,0.5385845214378694,0.43387786530415257,0.02753761325797807,0.0
2021-01-10,60-69,0.3219315627338161,0.5674603172926338,0.11060811997355002,0.0
2021-01-10,70-79,0.2135740390177764,0.645354766683339,0.14107119429888462,0.0
2021-01-10,80-89,0.22288510282904042,0.6755068490598843,0.10160804811107524,0.0
2021-01-10,90+,0.30681985047564636,0.6237582793108303,0.06942187021352343,0.0
2021-01-17,0-19,0.985212628655134,0.012652100470847314,0.0021352708740186364,0.0
2021-01-17,20-29,0.8462879853880962,0.11932689229948501,0.03438512231241872,0.0
2021-01-17,30-39,0.7894416132300612,0.15108894535201778,0.05946944141792098,0.0
2021-01-17,40-49,0.6034662883021616,0.3040094177160694,0.09252429398176897,0.0
2021-01-17,50-59,0.43596029768444333,0.4141405456961461,0.14989915661941056,0.0
2021-01-17,60-69,0.29071069572367936,0.3126431026645496,0.39664620161177105,0.0
2021-01-17,70-79,0.18959221998752976,0.3111388461530345,0.49926893385943577,0.0
2021-01-17,80-89,0.19818814268150312,0.3478927420456522,0.45391911527284473,0.0
2021-01-17,90+,0.2868366657559424,0.31126137991273617,0.4019019543313215,0.0
2021-01-24,0-19,0.9606912191055874,0.03351200782417483,0.005796773070237722,0.0
2021-01-24,20-29,0.781206393139835,0.1419749687636001,0.07681863809656485,0.0
2021-01-24,30-39,0.7120477712988111,0.16768804063733692,0.12026418806385189,0.0
2021-01-24,40-49,0.5013380685816712,0.2988829071558084,0.19977902426252042,0.0
2021-01-24,50-59,0.3784629980051026,0.28900205094671316,0.3325349510481842,0.0
2021-01-24,60-69,0.2649295071799702,0.1187139958475546,0.6163564969724752,0.0
2021-01-24,70-79,0.16877295009179116,0.09641819138112195,0.7348088585270869,0.0
2021-01-24,80-89,0.1761726179387827,0.10700673107970493,0.7168206509815124,0.0
2021-01-24,90+,0.2656537737098763,0.09925339865709581,0.6350928276330279,0.0
2021-01-31,0-19,0.9466227687028528,0.046059978272246074,0.00731725302490112,0.0
2021-01-31,20-29,0.7010416537527416,0.2033686871604808,0.09558965908677762,0.0
2021-01-31,30-39,0.6087743779990641,0.2413599076483462,0.14986571435258972,0.0
2021-01-31,40-49,0.43528522722568563,0.3141720131351267,0.25054275963918765,0.0
2021-01-31,50-59,0.3354126385918881,0.22158455799180787,0.44300280341630405,0.0
2021-01-31,60-69,0.24439462163249182,0.09071693633371325,0.6648884420337949,0.0
2021-01-31,70-79,0.15137182983790384,0.07086016922225902,0.7777680009398371,0.0
2021-01-31,80-89,0.15683852860087918,0.07996855103781164,0.7631929203613091,0.0
2021-01-31,90+,0.2453840917182053,0.08143684955664288,0.6731790587251518,0.0
2021-02-07,0-19,0.9370915418797419,0.05045402307055264,0.012454435049705526,0.0
2021-02-07,20-29,0.5974004870934543,0.2593664474269162,0.1432330654796295,0.0
2021-02-07,30-39,0.5125059323697189,0.2875090771722237,0.1999849904580574,0.0
2021-02-07,40-49,0.38453402610466697,0.23705142404146284,0.37841454985387024,0.0
